Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,District
70.0,7.0,2.5,4.0,4.0,4.0,Have certificate,Full,9.8,Thanh Xuân
37.0,4.6,3.5,6.0,4.0,3.0,Have certificate,Full,7.5,Hai Bà Trưng
30.0,3.5,3.0,5.0,3.0,4.0,Have certificate,Basic,3.2,Thanh Trì
37.0,3.8,3.0,6.0,3.0,4.0,Have certificate,Full,8.0,Thanh Xuân
31.0,5.1,0.0,3.0,4.0,3.0,Have certificate,None,5.6,Ba Đình
47.0,3.5,0.0,4.0,3.0,3.0,None,None,6.45,Hà Đông
36.0,0.0,0.0,5.0,3.0,3.0,Have certificate,None,6.05,Thanh Xuân
63.0,4.7,3.0,4.0,4.0,3.0,Have certificate,Basic,8.6,Bắc Từ Liêm
31.0,0.0,0.0,5.0,3.0,4.0,Have certificate,None,9.5,Ba Đình
32.0,3.0,2.3,5.0,5.0,3.0,Have certificate,None,3.7,Hà Đông
55.0,0.0,0.0,5.0,4.0,4.0,Have certificate,Full,9.29,Long Biên
35.0,0.0,0.0,5.0,2.0,2.0,None,None,6.85,Ba Đình
30.5,4.0,3.0,4.0,3.0,3.0,Have certificate,Full,2.65,Hoài Đức
32.0,3.5,3.0,4.0,3.0,3.0,Have certificate,Full,3.95,Long Biên
52.0,4.6,6.0,4.0,4.0,4.0,Have certificate,None,8.6,Bắc Từ Liêm
36.0,4.0,3.0,5.0,4.0,4.0,Have certificate,Full,2.8,Thanh Trì
50.0,5.0,2.0,6.0,4.0,5.0,Have certificate,Basic,6.5,Long Biên
70.0,4.5,2.5,5.0,5.0,5.0,Have certificate,Basic,10.0,Tây Hồ
50.0,0.0,0.0,6.0,4.0,5.0,Have certificate,Full,7.55,Hai Bà Trưng
35.0,0.0,0.0,6.0,4.0,5.0,Have certificate,Full,7.8,Long Biên
34.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,3.3,Hà Đông
36.0,4.0,3.5,5.0,3.0,4.0,Have certificate,None,4.55,Hoài Đức
35.0,0.0,3.0,4.0,4.0,3.0,Have certificate,Full,3.4,Hà Đông
56.0,5.2,0.0,4.0,2.0,3.0,Have certificate,Full,6.1,Long Biên
38.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Full,7.3,Thanh Trì
32.0,3.0,0.0,5.0,3.0,4.0,None,None,4.25,Long Biên
61.0,4.5,3.0,4.0,4.0,3.0,Have certificate,Full,8.95,Hà Đông
30.0,4.2,3.0,5.0,3.0,3.0,Have certificate,Full,6.4,Hà Đông
45.0,3.8,3.3,4.0,5.0,3.0,None,None,3.99,Thanh Trì
30.3,4.6,0.0,3.0,2.0,2.0,Have certificate,Full,3.2,Hà Đông
30.0,0.0,0.0,4.0,2.0,3.0,Have certificate,None,3.7,Hoàng Mai
45.0,4.0,4.0,4.0,4.0,4.0,Have certificate,Full,7.0,Đống Đa
35.0,0.0,0.0,3.0,3.0,4.0,Have certificate,Basic,1.92,Chương Mỹ
13.5,0.0,0.0,5.0,3.0,3.0,None,Basic,5.4,Hoàn Kiếm
50.0,5.0,2.0,4.0,5.0,3.0,Have certificate,None,7.65,Hoàng Mai
45.0,4.0,7.0,4.0,4.0,4.0,Have certificate,Full,9.5,Hà Đông
30.0,3.66,0.0,5.0,3.0,4.0,None,None,6.45,Hà Đông
62.0,10.0,0.0,4.0,4.0,3.0,Have certificate,None,9.5,Ba Đình
57.0,0.0,0.0,4.0,4.0,4.0,Have certificate,None,8.3,Hà Đông
30.4,4.0,3.0,5.0,3.0,4.0,Have certificate,Basic,5.48,Nam Từ Liêm
40.0,4.5,3.0,3.0,3.0,3.0,Have certificate,Full,6.4,Nam Từ Liêm
36.0,0.0,0.0,4.0,3.0,4.0,Have certificate,Full,2.8,Hoài Đức
36.0,0.0,0.0,5.0,4.0,4.0,Have certificate,Basic,1.86,Chương Mỹ
35.0,3.3,5.0,3.0,3.0,3.0,Have certificate,None,5.3,Long Biên
32.0,5.0,5.0,5.0,4.0,4.0,Have certificate,Full,5.5,Thanh Trì
35.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Full,1.9,Hà Đông
33.0,3.3,2.0,4.0,3.0,3.0,Have certificate,Full,4.2,Hà Đông
20.0,5.0,0.0,4.0,3.0,3.0,Have certificate,None,4.8,Đống Đa
35.0,3.4,2.5,5.0,3.0,3.0,Have certificate,Basic,4.05,Hoài Đức
45.0,0.0,0.0,3.0,4.0,3.0,Have certificate,Basic,1.95,Quốc Oai
35.0,0.0,0.0,5.0,4.0,3.0,Have certificate,Full,2.3,Hà Đông
44.0,3.8,0.0,3.0,3.0,2.0,Have certificate,Full,2.65,Quốc Oai
35.0,3.3,4.0,3.0,3.0,3.0,Have certificate,Basic,2.2,Hà Đông
30.0,3.7,3.0,3.0,3.0,3.0,Have certificate,Basic,1.98,Thanh Oai
32.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Full,3.8,Hà Đông
56.0,4.8,3.0,6.0,4.0,4.0,Have certificate,Basic,5.3,Tây Hồ
61.5,4.0,5.0,3.0,5.0,5.0,Have certificate,Full,7.8,Bắc Từ Liêm
37.0,0.0,0.0,4.0,3.0,3.0,Have certificate,Full,5.15,Hoài Đức
40.0,5.0,7.0,5.0,5.0,4.0,Have certificate,Basic,3.65,Hà Đông
33.0,0.0,0.0,5.0,3.0,4.0,Have certificate,Basic,3.8,Hà Đông
37.0,4.0,2.5,5.0,5.0,5.0,Have certificate,None,6.5,Bắc Từ Liêm
40.0,5.0,2.0,3.0,3.0,2.0,Have certificate,Full,5.33,Hai Bà Trưng
38.0,3.8,6.0,5.0,4.0,4.0,Have certificate,None,7.5,Hà Đông
38.0,3.5,5.0,6.0,3.0,4.0,Have certificate,None,4.7,Nam Từ Liêm
35.0,0.0,2.8,3.0,3.0,3.0,Have certificate,Full,1.85,Chương Mỹ
46.0,0.0,3.0,3.0,3.0,2.0,Have certificate,Full,2.6,Quốc Oai
32.0,4.2,2.5,4.0,4.0,3.0,Have certificate,None,2.7,Hoài Đức
31.0,3.0,3.0,5.0,3.0,4.0,Have certificate,Basic,4.3,Hoàng Mai
32.0,0.0,0.0,5.0,4.0,4.0,Have certificate,Full,3.0,Hoài Đức
21.0,7.0,0.0,5.0,3.0,2.0,Have certificate,Full,4.5,Long Biên
55.0,4.0,4.5,4.0,5.0,4.0,Have certificate,Basic,8.9,Hoàng Mai
35.0,4.4,0.0,5.0,3.0,3.0,Have certificate,None,5.9,Cầu Giấy
35.0,7.0,0.0,4.0,3.0,3.0,Have certificate,None,4.2,Ba Đình
33.6,0.0,0.0,4.0,4.0,4.0,Have certificate,None,4.85,Hoài Đức
37.0,5.0,0.0,6.0,3.0,4.0,Have certificate,Full,6.38,Long Biên
28.0,0.0,0.0,4.0,3.0,2.0,Have certificate,Full,7.5,Hà Đông
35.0,5.0,3.0,5.0,4.0,5.0,Have certificate,Full,4.55,Long Biên
63.0,10.0,0.0,5.0,4.0,5.0,Have certificate,Full,8.4,Ba Đình
30.5,3.05,4.0,5.0,3.0,4.0,Have certificate,Full,6.4,Hà Đông
44.0,5.0,3.0,6.0,5.0,5.0,Have certificate,None,8.7,Bắc Từ Liêm
35.0,3.9,2.0,5.0,3.0,4.0,Have certificate,Basic,6.3,Đống Đa
27.0,0.0,0.0,4.0,3.0,4.0,Have certificate,None,6.6,Hai Bà Trưng
39.0,0.0,0.0,4.0,4.0,5.0,Have certificate,Full,4.1,Hà Đông
45.0,0.0,0.0,3.0,4.0,3.0,Have certificate,Basic,2.48,Quốc Oai
58.0,4.0,3.0,5.0,4.0,4.0,Have certificate,None,7.9,Hà Đông
61.0,4.0,0.0,3.0,3.0,3.0,Have certificate,Full,6.5,Long Biên
41.6,3.0,0.0,5.0,4.0,4.0,Have certificate,Basic,6.3,Hai Bà Trưng
41.0,0.0,0.0,4.0,4.0,5.0,Have certificate,Full,6.75,Ba Đình
27.0,2.7,0.0,5.0,2.0,3.0,Have certificate,Full,5.5,Thanh Xuân
28.0,2.6,0.0,4.0,2.0,3.0,Have certificate,None,5.0,Hai Bà Trưng
35.0,4.0,3.0,5.0,3.0,4.0,None,Full,5.65,Ba Đình
61.0,5.0,0.0,3.0,3.0,3.0,Have certificate,None,7.8,Bắc Từ Liêm
38.0,0.0,0.0,5.0,3.0,4.0,Have certificate,None,8.3,Đống Đa
31.0,0.0,0.0,5.0,3.0,3.0,None,Basic,2.25,Hà Đông
42.0,4.5,2.0,4.0,3.0,3.0,Have certificate,Basic,7.9,Đống Đa
32.0,4.2,5.0,5.0,3.0,4.0,Have certificate,Full,4.4,Long Biên
42.0,4.0,2.5,5.0,3.0,3.0,Have certificate,None,3.4,Hoài Đức
35.0,4.0,3.0,5.0,3.0,4.0,Have certificate,Full,4.6,Long Biên
35.0,4.0,3.0,4.0,3.0,3.0,Have certificate,Full,4.65,Long Biên
38.0,5.0,5.0,5.0,4.0,4.0,Have certificate,Basic,4.8,Long Biên
50.0,0.0,0.0,5.0,5.0,5.0,Have certificate,None,6.15,Hoàng Mai
55.0,4.0,5.0,4.0,4.0,4.0,Have certificate,Full,5.8,Long Biên
48.0,9.0,0.0,3.0,3.0,3.0,Have certificate,Basic,6.5,Long Biên
38.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Full,2.2,Hoài Đức
40.0,0.0,6.0,3.0,4.0,3.0,Have certificate,Basic,2.2,Quốc Oai
35.0,0.0,0.0,5.0,4.0,3.0,Have certificate,Basic,3.45,Hoài Đức
20.0,2.8,0.0,4.0,2.0,3.0,Have certificate,Full,3.6,Đống Đa
38.0,0.0,0.0,4.0,4.0,3.0,Have certificate,Basic,4.3,Hoài Đức
56.0,0.0,0.0,3.0,4.0,3.0,None,None,2.62,Quốc Oai
